Stamp, X, Y, Z, Yaw
0, 0.00229926, -0.0106599, -0.0343568, -0.06346
0.036, 0.00225263, -0.0106854, -0.0342364, -0.063447
0.066, 0.00226031, -0.0106337, -0.0340237, -0.0634187
0.106, 0.00224701, -0.0106063, -0.0340521, -0.0634151
0.144, 0.00223203, -0.0105828, -0.0339696, -0.0634169
0.174, 0.00220808, -0.0105707, -0.0339088, -0.0634454
0.208, 0.00217385, -0.0105712, -0.0339072, -0.0635031
0.242, 0.00228876, -0.0104487, -0.033975, -0.0635375
0.278, 0.0023928, -0.0103386, -0.0340072, -0.0636008
0.312, 0.00249229, -0.0102341, -0.0340073, -0.0637004
0.346, 0.00256696, -0.0101575, -0.0340536, -0.0637363
0.38, 0.00263158, -0.0100929, -0.034125, -0.0638489
0.414, 0.00267631, -0.0100177, -0.0344243, -0.0639543
0.448, 0.00271319, -0.00985716, -0.0348776, -0.0639995
0.482, 0.00274321, -0.00971599, -0.0351452, -0.064111
0.514, 0.00275867, -0.00960244, -0.0354645, -0.0641891
0.55, 0.00278016, -0.00949001, -0.0358335, -0.0642219
0.586, 0.0027854, -0.00940529, -0.0363133, -0.0642611
0.614, 0.00278534, -0.00926123, -0.0368561, -0.0642736
0.654, 0.00277455, -0.00907193, -0.0375571, -0.0642798
0.692, 0.00276437, -0.00885311, -0.0381427, -0.0642805
0.724, 0.00275271, -0.00869816, -0.0386086, -0.064264
0.758, 0.00273118, -0.00853022, -0.0390813, -0.0642347
0.792, 0.00270338, -0.00845474, -0.0394958, -0.0641846
0.826, 0.00266972, -0.00826448, -0.0396212, -0.0641325
0.856, 0.00263604, -0.00809314, -0.0396728, -0.0640961
0.896, 0.00260739, -0.00793497, -0.0396108, -0.0639987
0.93, 0.00256432, -0.00776695, -0.0394696, -0.0638834
0.964, 0.00251906, -0.00765839, -0.0394891, -0.0637992
1.002, 0.00250516, -0.00756336, -0.039602, -0.0636471
1.034, 0.00254256, -0.00738821, -0.0396614, -0.0635688
1.066, 0.00257936, -0.00719595, -0.0396541, -0.0635017
1.102, 0.00259674, -0.00706581, -0.0396146, -0.0633553
1.136, 0.00260555, -0.0069535, -0.0394191, -0.063249
1.17, 0.00261778, -0.00684626, -0.039071, -0.063168
1.204, 0.00269367, -0.00677434, -0.038688, -0.0630387
1.238, 0.00275263, -0.0067384, -0.0385952, -0.0629172
1.272, 0.00280292, -0.00670859, -0.0385351, -0.0628696
1.306, 0.0028458, -0.00668431, -0.0384281, -0.0627575
1.34, 0.00287789, -0.00666912, -0.0382416, -0.0626872
1.374, 0.00290955, -0.00663157, -0.0376697, -0.0626595
1.406, 0.00291333, -0.00654795, -0.0371642, -0.0626553
1.442, 0.00291216, -0.00647699, -0.0368137, -0.0626818
1.474, 0.00290735, -0.00641691, -0.0365267, -0.0627092
1.512, 0.00290056, -0.00636498, -0.0362721, -0.0627305
1.546, 0.00289321, -0.00631935, -0.0358753, -0.0627498
1.582, 0.00300226, -0.00620115, -0.035291, -0.06279
1.612, 0.00310167, -0.00610782, -0.0349202, -0.0628322
1.646, 0.00319225, -0.00602545, -0.03464, -0.0628511
